2024-06-29T08:44:29.606Z	Log Info-	URL- /api/cart/add	Req. Body {"uid":2,"proInfo":{"pid":40,"quantity":60}}. 
2024-06-29T17:06:05.722Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:06:06.129Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:06:50.184Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:06:50.231Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:06:50.236Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:06:50.237Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:06:50.237Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:06:50.342Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:07:26.196Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:07:26.241Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:07:26.247Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:07:26.246Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:07:26.247Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:07:26.316Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:07:42.127Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:07:42.169Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:07:42.178Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:07:42.180Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:07:42.180Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:07:42.240Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:07:51.547Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:07:51.591Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:07:51.595Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:07:51.596Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:07:51.596Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:07:51.661Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:08:52.178Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:08:52.223Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:08:52.228Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:08:52.228Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:08:52.229Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:08:52.306Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:23:57.883Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:23:57.928Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:23:57.933Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:23:57.933Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:23:57.934Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:23:58.137Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:25:48.829Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:25:48.862Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:25:48.866Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:25:48.866Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:25:48.867Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:25:48.933Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:25:50.692Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:25:50.718Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:25:50.718Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:25:50.719Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:25:50.719Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:25:50.806Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:26:31.117Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:26:31.148Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:26:31.154Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:26:31.154Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T17:26:31.154Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T17:26:31.271Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
